time_min,epoch_ms,hr_bpm,rmssd_ms,palpitation,event,warning,connection,posture
0.0456,1776682558465,,,,,,connect,
0.3981,1776682579615,,,,,,disconnect,
0.6678,1776682595797,,,,,,disconnect,
1.0838,1776682620757,,,,,,disconnect,
1.5331,1776682647715,,,,,,connect,
1.7551,1776682661035,,,,,,disconnect,
2.2521,1776682690855,,,,,,disconnect,
2.6841,1776682716775,,,,,,connect,
3.0298,1776682737517,,,,,,disconnect,
3.4451,1776682762435,,,,,,disconnect,
3.5505,1776682768759,,,,,,connect,
3.5506,1776682768765,,,,,,connect,
3.8259,1776682785283,,,,,,disconnect,
4.3118,1776682814437,,,,,,disconnect,
4.7653,1776682841647,,,,,,connect,
28.5757,1776684270271,,,,,,disconnect,
28.7081,1776684278215,,,,,,connect,
29.1738,1776684306157,,,,,,disconnect,
29.2788,1776684312457,,,,,,connect,
49.1304,1776685503553,,,,,,disconnect,
49.3949,1776685519423,,,,,,connect,
72.8985,1776686929639,,,,,,disconnect,
73.2738,1776686952157,,,,,,disconnect,
73.9038,1776686989957,,,,,,connect,
74.2184,1776687008833,,,,,,disconnect,
75.4672,1776687083761,,,,,,connect,
76.1190,1776687122869,,,,,,disconnect,
78.1632,1776687245521,,,,,,disconnect,
81.8697,1776687467911,,,,,,connect,
82.1590,1776687485269,,,,,,disconnect,
82.4432,1776687502321,,,,,,disconnect,
82.6082,1776687512221,,,,,,disconnect,
82.9907,1776687535171,,,,,,disconnect,
83.4454,1776687562453,,,,,,disconnect,
83.9441,1776687592375,,,,,,disconnect,
84.0612,1776687599401,,,,,,disconnect,
84.8650,1776687647629,,,,,,disconnect,
85.1562,1776687665101,,,,,,disconnect,
85.6034,1776687691933,,,,,,disconnect,
85.8772,1776687708361,,,,,,disconnect,
86.2892,1776687733081,,,,,,disconnect,
86.6682,1776687755821,,,,,,disconnect,
87.3471,1776687796555,,,,,,connect,
87.7112,1776687818401,,,,,,disconnect,
87.9524,1776687832873,,,,,,connect,
88.4579,1776687863203,,,,,,disconnect,
88.7713,1776687882007,,,,,,disconnect,
89.0507,1776687898771,,,,,,disconnect,
89.8966,1776687949525,,,,,,connect,
90.0088,1776687956257,,,,,,disconnect,
91.0637,1776688019551,,,,,,connect,
91.0638,1776688019557,,,,,,connect,
92.5364,1776688107913,,,,,,disconnect,
92.9973,1776688135567,,,,,,connect,
93.6553,1776688175047,,,,,,disconnect,
94.5434,1776688228333,,,,,,disconnect,
94.7969,1776688243543,,,,,,connect,
96.3200,1776688334929,,,,,,disconnect,
96.8304,1776688365553,,,,,,connect,
97.7680,1776688421809,,,,,,disconnect,
98.1181,1776688442815,,,,,,connect,
101.0597,1776688619311,,,,,,disconnect,
101.6619,1776688655443,,,,,,disconnect,
101.9801,1776688674535,,,,,,connect,
102.3755,1776688698259,,,,,,disconnect,
102.7220,1776688719049,,,,,,disconnect,
103.0820,1776688740649,,,,,,disconnect,
103.4356,1776688761865,,,,,,disconnect,
103.8264,1776688785313,,,,,,disconnect,
103.9111,1776688790395,,,,,,disconnect,
104.0791,1776688800475,,,,,,disconnect,
104.6195,1776688832899,,,,,,disconnect,
104.9041,1776688849975,,,,,,disconnect,
105.1540,1776688864969,,,,,,disconnect,
105.6831,1776688896715,,,,,,disconnect,
106.3558,1776688937077,,,,,,disconnect,
106.6500,1776688954729,,,,,,disconnect,
107.0050,1776688976029,,,,,,disconnect,
107.7401,1776689020135,,,,,,disconnect,
108.4051,1776689060035,,,,,,connect,
109.6148,1776689132617,,,,,,disconnect,
109.7865,1776689142919,,,,,,connect,
110.9926,1776689215285,,,,,,disconnect,
111.2477,1776689230591,,,,,,connect,
129.1053,1776690302047,,,,,,disconnect,
129.2939,1776690313363,,,,,,connect,
129.4353,1776690321847,,,,,,disconnect,
129.5898,1776690331117,,,,,,connect,
129.9633,1776690353527,,,,,,disconnect,
130.2231,1776690369115,,,,,,disconnect,
130.5974,1776690391573,,,,,,connect,
132.7848,1776690522817,,,,,,disconnect,
132.9020,1776690529849,,,,,,connect,
141.7689,1776691061863,,,,,,disconnect,
142.0407,1776691078171,,,,,,disconnect,
142.2534,1776691090933,,,,,,connect,
143.6087,1776691172251,,,,,,disconnect,
143.7884,1776691183033,,,,,,connect,
151.1243,1776691623187,,,,,,disconnect,
151.3399,1776691636123,,,,,,connect,
164.4026,1776692419885,,,,,,disconnect,
164.7862,1776692442901,,,,,,disconnect,
164.9022,1776692449861,,,,,,connect,
167.2064,1776692588113,93,34.01,,,,,
167.2889,1776692593063,93,35.45,,,,,
167.3715,1776692598019,93,35.62,,,,,
167.4416,1776692602225,95,35.14,,,,,
167.5241,1776692607175,94,37.61,,,,,
167.6066,1776692612125,95,36.32,,,,,
167.6891,1776692617075,96,27.97,,,,,
167.7716,1776692622025,98,26.19,,,,,
167.8417,1776692626231,101,25.72,,,,,
167.9242,1776692631181,102,23.84,,,,,
168.0067,1776692636131,101,23.91,,,,,
168.0892,1776692641081,95,25.23,,,,,
168.1717,1776692646031,96,25.23,,,,,
168.2418,1776692650237,96,25.64,,,,,
168.3243,1776692655187,94,23.51,,,,,
168.4068,1776692660137,94,23.56,,,,,
168.4893,1776692665087,93,21.93,,,,,
168.5760,1776692670289,95,22.09,,,,,
168.6584,1776692675233,94,21.67,,,,,
168.7409,1776692680183,93,21.97,,,,,
168.8235,1776692685139,97,21.77,,,,,
168.9059,1776692690083,97,22.70,,,,,
168.9761,1776692694295,94,23.74,,,,,
169.0586,1776692699245,96,22.91,,,,,
169.1287,1776692703451,98,24.38,,,,,
169.2071,1776692708155,98,24.07,,,,,
169.2978,1776692713597,101,24.13,,,,,
169.3762,1776692718301,103,24.23,,,,,
169.4669,1776692723743,104,22.81,,,,,
169.5412,1776692728201,108,21.45,,,,,
169.6114,1776692732413,108,22.89,,,,,
169.6783,1776692736427,106,23.43,,,,,
169.7516,1776692740825,100,23.62,,,,,
169.8258,1776692745277,98,24.30,,,,,
169.9166,1776692750725,98,23.46,,,,,
170.0126,1776692756485,,,,,,disconnect,
170.1294,1776692763493,,,,,,connect,
170.1970,1776692767549,102,21.38,,,,,
170.2796,1776692772505,105,24.01,,,,,
170.3621,1776692777455,99,24.84,,,,,
170.4322,1776692781661,97,25.39,,,,,
170.5147,1776692786611,99,26.48,,,,,
170.5972,1776692791561,99,24.47,,,,,
170.6797,1776692796511,99,23.64,,,,,
170.7498,1776692800717,98,23.42,,,,,
170.8240,1776692805169,98,23.18,,,,,
170.9066,1776692810125,98,23.15,,,,,
170.9808,1776692814577,98,23.13,,,,,
171.0716,1776692820025,99,22.56,,,,,
171.1417,1776692824231,97,23.74,,,,,
171.2159,1776692828683,94,25.87,,,,,
171.3025,1776692833879,94,23.90,,,,,
171.3768,1776692838337,94,23.92,,,,,
171.4511,1776692842795,92,23.21,,,,,
171.5335,1776692847739,93,23.79,,,,,
171.6037,1776692851951,93,24.27,,,,,
171.6820,1776692856649,94,25.20,,,,,
171.7563,1776692861107,95,25.63,,,,,
171.8429,1776692866303,91,26.68,,,,,
171.9254,1776692871253,92,27.50,,,,,
171.9997,1776692875711,94,28.30,,,,,
172.0822,1776692880661,96,28.21,,,,,
172.1688,1776692885857,98,27.15,,,,,
172.2430,1776692890309,97,25.51,,,,,
172.3173,1776692894767,98,25.27,,,,,
172.3998,1776692899717,100,25.45,,,,,
172.4864,1776692904913,103,23.89,,,,,
172.5648,1776692909617,102,24.00,,,,,
172.6349,1776692913823,99,24.30,,,,,
172.7174,1776692918773,98,24.58,,,,,
172.7999,1776692923723,99,23.95,,,,,
172.8824,1776692928673,103,23.16,,,,,
172.9690,1776692933869,101,21.64,,,,,
173.0598,1776692939317,99,21.42,,,,,
173.1381,1776692944015,99,20.74,,,,,
173.2165,1776692948719,98,22.10,,,,,
173.2990,1776692953669,93,22.92,,,,,
173.3691,1776692957875,92,23.27,,,,,
173.4517,1776692962831,93,26.47,,,,,
173.5342,1776692967781,93,26.93,,,,,
173.6166,1776692972725,95,26.51,,,,,
173.6992,1776692977681,96,25.21,,,,,
173.7693,1776692981887,96,25.86,,,,,
173.8518,1776692986837,94,26.81,,,,,
173.9343,1776692991787,99,26.21,,,,,
174.0168,1776692996737,98,27.04,,,,,
174.1034,1776693001933,99,27.21,,,,,
174.1859,1776693006883,99,26.67,,,,,
174.2684,1776693011833,98,25.78,,,,,
174.3509,1776693016783,98,26.44,,,,,
174.4334,1776693021733,100,23.54,,,,,
174.5035,1776693025939,103,22.03,,,,,
174.5737,1776693030151,102,21.73,,,,,
174.6520,1776693034849,100,22.26,,,,,
174.7345,1776693039799,99,21.22,,,,,
174.8170,1776693044749,103,19.58,,,,,
174.8871,1776693048955,104,19.20,,,,,
174.9696,1776693053905,102,18.85,,,,,
175.0521,1776693058855,99,18.40,,,,,
175.1346,1776693063805,99,18.84,,,,,
175.2212,1776693069001,98,21.03,,,,,
175.3038,1776693073957,95,23.94,,,,,
175.3862,1776693078901,96,23.83,,,,,
175.4688,1776693083857,103,23.83,,,,,
175.5554,1776693089053,102,23.69,,,,,
175.6379,1776693094003,102,23.56,,,,,
175.7204,1776693098953,102,23.44,,,,,
175.8029,1776693103903,103,26.06,,,,,
175.8854,1776693108853,96,26.66,,,,,
175.9720,1776693114049,99,27.16,,,,,
176.0545,1776693118999,101,27.02,,,,,
176.1370,1776693123949,102,26.58,,,,,
