time_min,epoch_ms,hr_bpm,rmssd_ms,palpitation,event,warning,connection,posture
0.0195,1776796592091,,,,,,connected,
0.0917,1776796596421,90,29.09,,,,,
0.1619,1776796600632,93,25.12,,,,,
0.2444,1776796605582,96,22.15,,,,,
0.3269,1776796610531,96,20.02,,,,,
0.4093,1776796615479,94,28.74,,,,,
0.4918,1776796620430,92,27.48,,,,,
0.5620,1776796624642,95,26.45,,,,,
0.6445,1776796629589,95,26.31,,,,,
0.7270,1776796634541,95,27.40,,,,,
0.8095,1776796639487,93,29.95,,,,,
0.8962,1776796644689,92,24.78,,,,,
0.9786,1776796649634,93,24.46,,,,,
1.0611,1776796654588,94,24.64,,,,,
1.1437,1776796659539,94,24.08,,,,,
1.2261,1776796664485,96,21.67,,,,,
1.2962,1776796668694,97,19.58,,,,,
1.3787,1776796673644,97,19.13,,,,,
1.4613,1776796678595,96,19.30,,,,,
1.5437,1776796683544,99,18.16,,,,,
1.6262,1776796688494,97,17.51,,,,,
1.6964,1776796692702,94,17.15,,,,,
1.7789,1776796697654,93,18.84,,,,,
1.8614,1776796702603,95,17.70,,,,,
1.9356,1776796707058,95,19.36,,,,,
2.0099,1776796711512,90,20.30,,,,,
2.0800,1776796715721,90,21.86,,,,,
2.1625,1776796720671,92,23.21,,,,,
2.2450,1776796725619,98,23.15,,,,,
2.3316,1776796730817,99,22.74,,,,,
2.4142,1776796735769,97,22.38,,,,,
2.4966,1776796740716,97,22.01,,,,,
2.5791,1776796745667,92,26.24,,,,,
2.6616,1776796750615,92,25.79,,,,,
2.7441,1776796755568,97,26.54,,,,,
2.8143,1776796759775,95,28.07,,,,,
2.8968,1776796764726,92,27.17,,,,,
2.9793,1776796769676,91,28.10,,,,,
3.0618,1776796774626,91,27.18,,,,,
3.1485,1776796779829,89,27.64,,,,,
3.2309,1776796784773,91,27.35,,,,,
3.3134,1776796789724,93,25.36,,,,,
3.3959,1776796794671,92,26.02,,,,,
3.4784,1776796799624,91,25.86,,,,,
3.5485,1776796803828,92,24.10,,,,,
3.6310,1776796808780,95,21.79,,,,,
3.7135,1776796813729,95,19.23,,,,,
3.7960,1776796818677,95,19.01,,,,,
3.8785,1776796823631,96,18.35,,,,,
3.9486,1776796827837,96,18.78,,,,,
4.0311,1776796832785,93,19.34,,,,,
4.1136,1776796837738,96,19.77,,,,,
