time_min,epoch_ms,hr_bpm,rmssd_ms,palpitation,event,warning,connection,posture
0.0161,1776956765466,,,,,,connected,
0.0916,1776956769998,74,115.26,,,,,
0.1741,1776956774948,74,84.91,,,,,
0.2567,1776956779900,81,66.35,,,,,
0.3391,1776956784848,97,54.36,,,,,
0.4258,1776956790051,117,47.55,,,,,
0.5083,1776956794998,113,55.66,,,,,
0.5950,1776956800198,108,41.68,,,,,
0.6650,1776956804403,108,36.35,,,,,
0.7393,1776956808861,109,33.73,,,,,
0.8095,1776956813068,111,33.48,,,,,
0.8920,1776956818018,119,32.81,,,,,
0.9744,1776956822963,116,5.17,,,,,
1.0570,1776956827918,120,5.07,,,,,
1.1394,1776956832865,126,5.12,,,,,
1.2096,1776956837074,123,5.60,,,,,
1.2962,1776956842273,120,6.78,,,,,
1.3662,1776956846475,119,9.12,,,,,
1.4406,1776956850935,115,9.29,,,,,
1.5107,1776956855144,119,9.41,,,,,
1.5932,1776956860091,118,9.54,,,,,
1.6757,1776956865043,111,9.64,,,,,
1.7581,1776956869988,113,10.57,,,,,
1.8407,1776956874940,113,9.82,,,,,
1.9232,1776956879891,112,7.76,,,,,
1.9933,1776956884100,118,7.61,,,,,
2.0758,1776956889048,118,7.62,,,,,
2.1583,1776956893997,115,7.56,,,,,
2.2408,1776956898950,110,8.08,,,,,
2.3110,1776956903158,113,7.47,,,,,
2.3976,1776956908354,124,6.93,,,,,
2.4759,1776956913057,126,7.84,,,,,
2.5584,1776956918005,115,8.82,,,,,
2.6409,1776956922957,109,9.74,,,,,
2.7110,1776956927163,109,8.87,,,,,
2.7935,1776956932111,107,8.65,,,,,
2.8637,1776956936324,110,8.83,,,,,
2.9421,1776956941024,113,12.70,,,,,
3.0287,1776956946221,103,13.00,,,,,
3.0988,1776956950428,108,13.12,,,,,
3.1772,1776956955133,112,12.22,,,,,
3.2639,1776956960332,109,12.42,,,,,
3.3463,1776956965279,109,12.65,,,,,
3.4288,1776956970231,107,9.12,,,,,
3.5155,1776956975429,107,7.51,,,,,
3.5938,1776956980128,119,7.46,,,,,
3.6763,1776956985080,119,7.28,,,,,
3.7588,1776956990029,119,42.35,,,,,
3.8289,1776956994236,116,42.28,,,,,
3.9114,1776956999187,117,42.57,,,,,
3.9940,1776957004138,111,42.17,,,,,
4.0764,1776957009087,112,42.10,,,,,
4.1589,1776957014037,117,42.18,,,,,
4.2291,1776957018245,116,26.41,,,,,
4.3115,1776957023192,109,10.95,,,,,
4.3940,1776957028142,110,11.31,,,,,
4.4766,1776957033095,108,9.92,,,,,
4.5590,1776957038043,115,11.31,,,,,
4.6292,1776957042252,113,31.83,,,,,
4.7117,1776957047202,108,52.16,,,,,
4.7942,1776957052151,111,52.29,,,,,
4.8767,1776957057103,111,66.81,,,,,
4.9468,1776957061307,111,71.12,,,,,
5.0293,1776957066257,112,70.35,,,,,
5.1118,1776957071210,121,62.71,,,,,
5.1943,1776957076160,122,45.32,,,,,
5.2768,1776957081108,122,44.67,,,,,
5.3470,1776957085318,118,21.46,,,,,
5.4294,1776957090267,114,18.85,,,,,
5.5120,1776957095218,103,19.20,,,,,
5.5944,1776957100167,111,19.42,,,,,
5.6769,1776957105115,121,19.39,,,,,
5.7470,1776957109322,119,19.00,,,,,
5.8295,1776957114272,116,18.91,,,,,
5.9120,1776957119223,114,11.45,,,,,
5.9946,1776957124175,117,8.88,,,,,
6.0689,1776957128632,116,8.48,,,,,
6.1473,1776957133337,112,8.93,,,,,
6.2297,1776957138285,115,8.82,,,,,
6.3122,1776957143231,118,8.27,,,,,
6.3947,1776957148180,119,8.06,,,,,
6.4690,1776957152638,119,6.09,,,,,
6.5473,1776957157340,122,6.05,,,,,
6.6298,1776957162291,120,4.38,,,,,
6.7000,1776957166499,121,3.73,,,,,
6.7784,1776957171203,123,3.83,,,,,
6.8485,1776957175408,115,6.73,,,,,
6.9310,1776957180360,106,7.36,,,,,
7.0135,1776957185308,112,7.76,,,,,
7.0959,1776957190257,113,8.30,,,,,
7.1785,1776957195211,112,8.55,,,,,
7.2486,1776957199417,114,10.23,,,,,
7.3310,1776957204362,110,9.60,,,,,
7.4136,1776957209315,113,14.25,,,,,
7.4960,1776957214260,118,14.26,,,,,
7.5827,1776957219465,119,14.68,,,,,
7.6652,1776957224413,116,14.89,,,,,
7.7476,1776957229359,107,18.01,,,,,
7.8302,1776957234310,107,18.05,,,,,
7.9127,1776957239263,107,16.12,,,,,
7.9829,1776957243473,99,17.84,,,,,
8.0654,1776957248422,97,19.63,,,,,
8.1478,1776957253368,96,20.89,,,,,
8.2303,1776957258317,97,18.14,,,,,
8.3127,1776957263265,100,19.07,,,,,
8.3829,1776957267472,96,23.74,,,,,
8.4654,1776957272423,89,25.43,,,,,
8.5479,1776957277372,88,26.44,,,,,
8.6304,1776957282323,87,28.03,,,,,
8.7005,1776957286532,86,30.66,,,,,
8.7830,1776957291481,88,32.03,,,,,
8.8655,1776957296431,93,30.20,,,,,
8.9480,1776957301381,96,27.75,,,,,
9.0305,1776957306331,101,24.87,,,,,
9.1006,1776957310538,103,24.74,,,,,
9.1831,1776957315488,99,21.78,,,,,
9.2656,1776957320437,100,19.51,,,,,
9.3481,1776957325388,98,18.91,,,,,
9.4306,1776957330337,92,20.79,,,,,
9.5007,1776957334544,90,22.59,,,,,
9.5832,1776957339495,91,22.86,,,,,
9.6658,1776957344447,92,23.29,,,,,
9.7483,1776957349396,91,23.73,,,,,
9.8307,1776957354345,90,23.42,,,,,
9.9009,1776957358552,91,23.41,,,,,
9.9834,1776957363502,87,23.94,,,,,
10.0659,1776957368456,83,30.34,,,,,
10.1484,1776957373402,87,30.19,,,,,
10.2350,1776957378600,88,33.32,,,,,
10.3175,1776957383550,84,40.08,,,,,
10.4000,1776957388502,85,39.28,,,,,
10.4825,1776957393449,88,39.54,,,,,
10.5650,1776957398399,87,35.46,,,,,
10.6351,1776957402607,87,35.42,,,,,
10.7176,1776957407556,90,34.17,,,,,
10.7878,1776957411766,93,25.76,,,,,
10.8661,1776957416467,95,25.68,,,,,
10.9486,1776957421417,90,25.85,,,,,
11.0187,1776957425625,86,25.54,,,,,
11.1012,1776957430574,84,26.54,,,,,
11.1837,1776957435525,83,29.39,,,,,
11.2663,1776957440480,83,29.00,,,,,
11.3487,1776957445425,81,34.50,,,,,
11.4189,1776957449633,82,35.14,,,,,
11.5014,1776957454587,85,34.37,,,,,
11.5839,1776957459533,90,33.21,,,,,
11.6664,1776957464487,93,32.07,,,,,
11.7365,1776957468690,90,34.28,,,,,
11.8190,1776957473640,89,32.55,,,,,
11.9015,1776957478592,90,28.03,,,,,
11.9881,1776957483787,88,28.89,,,,,
12.0666,1776957488494,91,27.66,,,,,
12.1366,1776957492697,92,26.51,,,,,
12.2191,1776957497647,95,21.94,,,,,
12.3016,1776957502597,94,21.56,,,,,
12.3842,1776957507552,89,21.60,,,,,
12.4666,1776957512497,89,20.86,,,,,
12.5368,1776957516706,91,20.10,,,,,
12.6192,1776957521654,94,19.82,,,,,
12.7017,1776957526605,98,21.01,,,,,
12.7842,1776957531554,97,20.90,,,,,
12.8667,1776957536504,94,19.35,,,,,
12.9369,1776957540712,92,19.62,,,,,
13.0194,1776957545663,92,20.73,,,,,
13.1019,1776957550612,93,23.32,,,,,
13.1844,1776957555562,95,23.34,,,,,
13.2545,1776957559771,98,21.75,,,,,
13.3370,1776957564720,100,22.50,,,,,
13.4195,1776957569669,98,21.68,,,,,
13.5020,1776957574620,92,21.33,,,,,
13.5845,1776957579572,90,17.91,,,,,
13.6547,1776957583780,92,17.66,,,,,
13.7372,1776957588730,94,19.64,,,,,
13.8279,1776957594172,91,23.92,,,,,
13.9022,1776957598631,90,23.42,,,,,
13.9846,1776957603579,95,22.63,,,,,
14.0548,1776957607788,100,21.95,,,,,
14.1249,1776957611994,103,20.67,,,,,
14.2033,1776957616698,103,20.18,,,,,
14.2857,1776957621644,101,14.50,,,,,
14.3724,1776957626844,99,12.97,,,,,
14.4550,1776957631799,96,12.78,,,,,
14.5374,1776957636744,94,16.23,,,,,
14.6199,1776957641692,96,16.51,,,,,
14.7024,1776957646643,101,18.37,,,,,
14.7726,1776957650854,101,28.22,,,,,
14.8551,1776957655804,105,27.34,,,,,
14.9375,1776957660752,103,28.41,,,,,
15.0201,1776957665704,98,28.12,,,,,
15.1025,1776957670652,101,28.11,,,,,
15.1727,1776957674861,102,29.02,,,,,
15.2552,1776957679810,101,17.60,,,,,
