time_min,epoch_ms,hr_bpm,rmssd_ms,palpitation,event,warning,connection,posture
0.0127,1776827845375,,,,,,connected,
0.0863,1776827849787,132,64.19,,,,,
0.1687,1776827854735,130,43.08,,,,,
0.2555,1776827859938,131,34.67,,,,,
0.3379,1776827864883,128,30.17,,,,,
0.4204,1776827869835,128,27.15,,,,,
0.5029,1776827874783,127,24.76,,,,,
0.5854,1776827879733,125,5.92,,,,,
0.6555,1776827883941,121,6.68,,,,,
0.7380,1776827888892,120,6.80,,,,,
0.8205,1776827893842,121,5.50,,,,,
0.9030,1776827898792,119,5.67,,,,,
0.9896,1776827903988,122,5.50,,,,,
1.0721,1776827908938,123,5.14,,,,,
1.1546,1776827913888,117,4.87,,,,,
1.2371,1776827918838,120,4.84,,,,,
1.3196,1776827923789,120,4.92,,,,,
1.3898,1776827927997,120,4.97,,,,,
1.4722,1776827932945,118,6.32,,,,,
1.5547,1776827937895,113,6.17,,,,,
1.6373,1776827942848,111,10.40,,,,,
1.7198,1776827947796,108,10.68,,,,,
1.7899,1776827952003,111,11.01,,,,,
1.8724,1776827956953,110,13.38,,,,,
1.9549,1776827961905,106,13.85,,,,,
2.0415,1776827967101,114,13.97,,,,,
2.1240,1776827972051,112,12.10,,,,,
2.1983,1776827976506,112,11.65,,,,,
2.2725,1776827980963,114,11.92,,,,,
2.3674,1776827986656,114,9.00,,,,,
2.4376,1776827990866,118,9.68,,,,,
2.5077,1776827995070,113,14.11,,,,,
2.5902,1776828000022,109,13.15,,,,,
2.6727,1776828004973,112,14.02,,,,,
2.7552,1776828009922,108,15.79,,,,,
2.8377,1776828014870,112,17.60,,,,,
2.9078,1776828019080,116,18.28,,,,,
2.9903,1776828024028,116,14.15,,,,,
3.0728,1776828028980,118,13.80,,,,,
3.1553,1776828033928,115,13.81,,,,,
3.2420,1776828039128,111,10.87,,,,,
3.3244,1776828044076,114,7.18,,,,,
3.4069,1776828049025,115,6.28,,,,,
3.4894,1776828053974,115,6.44,,,,,
3.5719,1776828058927,115,7.14,,,,,
3.6421,1776828063135,112,6.93,,,,,
3.7246,1776828068084,114,7.61,,,,,
3.8070,1776828073032,115,7.88,,,,,
3.8896,1776828077985,116,7.79,,,,,
3.9721,1776828082935,115,7.05,,,,,
4.0421,1776828087139,115,7.11,,,,,
4.1123,1776828091349,115,6.60,,,,,
4.1824,1776828095557,115,6.27,,,,,
4.2567,1776828100012,114,4.90,,,,,
4.3392,1776828104962,116,5.05,,,,,
4.4093,1776828109169,114,6.34,,,,,
4.4918,1776828114120,114,6.65,,,,,
4.5743,1776828119070,113,9.00,,,,,
4.6568,1776828124020,113,9.49,,,,,
4.7434,1776828129216,115,9.80,,,,,
4.8136,1776828133424,113,9.70,,,,,
4.8919,1776828138125,116,9.20,,,,,
4.9744,1776828143076,122,8.84,,,,,
5.0569,1776828148027,127,6.07,,,,,
5.1270,1776828152230,121,13.02,,,,,
5.2095,1776828157180,105,17.57,,,,,
5.2920,1776828162130,96,21.15,,,,,
5.3745,1776828167082,92,23.22,,,,,
5.4570,1776828172033,95,25.08,,,,,
5.5271,1776828176238,96,27.01,,,,,
5.6096,1776828181188,98,25.23,,,,,
5.6921,1776828186137,98,25.35,,,,,
5.7746,1776828191087,103,20.27,,,,,
5.8571,1776828196038,100,19.60,,,,,
5.9272,1776828200245,97,19.05,,,,,
5.9974,1776828204454,97,18.34,,,,,
6.0758,1776828209156,96,19.24,,,,,
6.1583,1776828214106,96,19.69,,,,,
6.2490,1776828219550,103,18.71,,,,,
6.3274,1776828224252,110,16.10,,,,,
6.4099,1776828229202,112,14.80,,,,,
6.4924,1776828234153,112,14.11,,,,,
6.5749,1776828239103,110,14.10,,,,,
6.6450,1776828243309,102,13.05,,,,,
6.7275,1776828248260,95,15.12,,,,,
6.8100,1776828253211,94,16.88,,,,,
6.8925,1776828258160,100,17.77,,,,,
6.9626,1776828262367,108,18.40,,,,,
7.0451,1776828267317,111,16.52,,,,,
7.1276,1776828272268,110,14.93,,,,,
7.2101,1776828277219,120,12.98,,,,,
7.2927,1776828282172,118,16.62,,,,,
7.3794,1776828287373,114,14.99,,,,,
7.4618,1776828292320,124,14.42,,,,,
7.5443,1776828297270,124,14.17,,,,,
7.6268,1776828302220,126,13.56,,,,,
7.7093,1776828307168,122,14.14,,,,,
7.7794,1776828311377,121,6.35,,,,,
7.8620,1776828316329,123,5.74,,,,,
7.9444,1776828321277,119,6.47,,,,,
8.0270,1776828326229,114,6.61,,,,,
8.1095,1776828331180,114,7.42,,,,,
8.1796,1776828335385,114,6.61,,,,,
8.2620,1776828340331,113,8.72,,,,,
8.3445,1776828345280,112,9.04,,,,,
8.4270,1776828350232,113,10.04,,,,,
8.5136,1776828355428,113,9.71,,,,,
8.5961,1776828360377,117,9.46,,,,,
8.6786,1776828365328,119,9.24,,,,,
8.7611,1776828370277,123,8.06,,,,,
8.8519,1776828375725,125,7.07,,,,,
8.9303,1776828380427,127,5.60,,,,,
9.0127,1776828385375,124,30.12,,,,,
9.0952,1776828390325,119,30.62,,,,,
9.1655,1776828394538,126,30.78,,,,,
9.2425,1776828399159,130,30.75,,,,,
9.3139,1776828403447,135,30.40,,,,,
9.3964,1776828408393,133,29.70,,,,,
9.4789,1776828413342,132,29.38,,,,,
9.5614,1776828418292,128,3.89,,,,,
9.6480,1776828423493,126,3.75,,,,,
9.7305,1776828428440,124,3.61,,,,,
9.8130,1776828433390,123,3.58,,,,,
9.8955,1776828438340,121,4.44,,,,,
9.9780,1776828443290,128,4.11,,,,,
10.0481,1776828447499,129,4.08,,,,,
10.1306,1776828452448,131,83.75,,,,,
10.2131,1776828457398,127,82.43,,,,,
10.2956,1776828462348,121,82.44,,,,,
10.3781,1776828467298,119,82.42,,,,,
10.4483,1776828471507,118,83.76,,,,,
10.5308,1776828476459,120,83.11,,,,,
10.6132,1776828481405,119,4.86,,,,,
10.6958,1776828486356,118,4.92,,,,,
10.7824,1776828491553,121,5.22,,,,,
10.8649,1776828496502,118,5.15,,,,,
10.9474,1776828501454,116,12.58,,,,,
11.0299,1776828506402,103,18.19,,,,,
11.1124,1776828511353,99,19.79,,,,,
11.1825,1776828515560,97,22.13,,,,,
11.2650,1776828520512,95,23.66,,,,,
11.3476,1776828525464,95,25.81,,,,,
11.4301,1776828530417,100,24.65,,,,,
11.5166,1776828535608,103,20.59,,,,,
11.5991,1776828540559,99,20.79,,,,,
11.6817,1776828545512,95,20.29,,,,,
11.7641,1776828550459,96,19.71,,,,,
11.8466,1776828555407,96,19.02,,,,,
11.9168,1776828559617,94,17.36,,,,,
11.9992,1776828564565,95,18.94,,,,,
12.0818,1776828569516,95,17.82,,,,,
12.1642,1776828574465,92,19.09,,,,,
12.2467,1776828579415,91,20.02,,,,,
12.3169,1776828583623,91,20.13,,,,,
12.3994,1776828588572,91,20.19,,,,,
12.4819,1776828593523,93,22.95,,,,,
12.5644,1776828598472,101,22.33,,,,,
12.6345,1776828602681,106,21.00,,,,,
12.7170,1776828607630,106,18.49,,,,,
12.7995,1776828612580,101,17.16,,,,,
12.8820,1776828617530,99,16.52,,,,,
12.9645,1776828622480,98,12.61,,,,,
13.0346,1776828626688,99,11.23,,,,,
13.1171,1776828631638,97,12.03,,,,,
13.1996,1776828636588,95,12.62,,,,,
13.2821,1776828641537,95,13.96,,,,,
13.3646,1776828646489,93,13.50,,,,,
13.4347,1776828650695,94,13.92,,,,,
13.5172,1776828655645,98,13.51,,,,,
13.5998,1776828660596,99,13.80,,,,,
13.6822,1776828665545,96,14.28,,,,,
13.7689,1776828670742,90,15.86,,,,,
13.8431,1776828675197,88,18.52,,,,,
13.9174,1776828679655,86,21.40,,,,,
13.9999,1776828684603,89,22.85,,,,,
14.0824,1776828689555,91,23.82,,,,,
14.1525,1776828693761,89,25.25,,,,,
14.2350,1776828698712,91,24.62,,,,,
14.3175,1776828703662,91,24.45,,,,,
14.4000,1776828708611,95,19.03,,,,,
14.4825,1776828713562,96,18.80,,,,,
14.5527,1776828717771,93,17.73,,,,,
14.6351,1776828722719,92,16.83,,,,,
14.7177,1776828727670,91,14.48,,,,,
14.8002,1776828732621,91,12.51,,,,,
14.8868,1776828737819,92,12.81,,,,,
14.9692,1776828742765,94,15.78,,,,,
15.0518,1776828747716,94,14.31,,,,,
15.1343,1776828752667,91,16.10,,,,,
15.2167,1776828757615,89,17.19,,,,,
15.2869,1776828761826,89,18.22,,,,,
15.3694,1776828766773,88,19.44,,,,,
15.4519,1776828771722,88,18.25,,,,,
15.5344,1776828776675,90,19.51,,,,,
15.6169,1776828781625,89,18.42,,,,,
15.6870,1776828785832,87,18.85,,,,,
15.7695,1776828790780,86,19.78,,,,,
15.8520,1776828795730,86,19.32,,,,,
15.9345,1776828800682,87,21.14,,,,,
16.0170,1776828805630,86,20.34,,,,,
16.0871,1776828809838,87,21.17,,,,,
16.1696,1776828814787,86,19.68,,,,,
16.2521,1776828819738,87,20.92,,,,,
16.3346,1776828824689,89,20.73,,,,,
16.4048,1776828828901,91,20.51,,,,,
16.4873,1776828833847,92,19.36,,,,,
16.5698,1776828838797,88,19.50,,,,,
16.6523,1776828843746,87,19.22,,,,,
16.7348,1776828848697,87,20.24,,,,,
16.8049,1776828852905,87,21.03,,,,,
16.8874,1776828857855,87,21.65,,,,,
16.9699,1776828862804,87,21.78,,,,,
17.0400,1776828867010,86,21.94,,,,,
17.1184,1776828871715,90,21.81,,,,,
17.1885,1776828875922,90,21.77,,,,,
17.2710,1776828880872,92,17.30,,,,,
17.3536,1776828885824,92,16.33,,,,,
17.4360,1776828890770,94,14.13,,,,,
17.5186,1776828895724,96,13.57,,,,,
17.5886,1776828899929,94,94.97,,,,,
17.6711,1776828904879,94,92.82,,,,,
17.7413,1776828909086,93,94.82,,,,,
17.8196,1776828913788,91,93.96,,,,,
17.9021,1776828918739,91,94.01,,,,,
17.9723,1776828922946,93,96.03,,,,,
18.0547,1776828927895,94,58.06,,,,,
18.1373,1776828932846,90,18.11,,,,,
18.2197,1776828937795,90,18.54,,,,,
18.3064,1776828942993,92,18.35,,,,,
18.3889,1776828947945,91,19.53,,,,,
18.4714,1776828952896,92,19.81,,,,,
18.5539,1776828957843,92,16.29,,,,,
18.6364,1776828962792,91,18.10,,,,,
18.7065,1776828967001,90,19.00,,,,,
18.7890,1776828971952,89,18.88,,,,,
18.8715,1776828976900,88,20.02,,,,,
18.9540,1776828981849,85,19.30,,,,,
19.0365,1776828986801,86,20.48,,,,,
19.1067,1776828991010,86,19.20,,,,,
19.1891,1776828995959,88,19.25,,,,,
19.2716,1776829000908,87,19.46,,,,,
19.3541,1776829005857,88,18.54,,,,,
19.4408,1776829011058,89,18.65,,,,,
19.5233,1776829016008,89,17.09,,,,,
