time_min,epoch_ms,hr_bpm,rmssd_ms,palpitation,event,warning,connection,posture
0.0160,1776884248764,,,,,,connected,
0.0907,1776884253244,90,20.67,,,,,
0.1732,1776884258195,88,21.63,,,,,
0.2557,1776884263144,88,19.35,,,,,
0.3258,1776884267351,88,22.05,,,,,
0.4083,1776884272301,93,21.26,,,,,
0.4908,1776884277251,95,21.83,,,,,
0.5733,1776884282203,92,22.10,,,,,
0.6559,1776884287157,90,30.79,,,,,
0.7260,1776884291363,92,32.55,,,,,
0.8084,1776884296309,97,34.30,,,,,
0.8910,1776884301265,93,33.98,,,,,
0.9734,1776884306210,91,34.95,,,,,
1.0560,1776884311163,91,38.86,,,,,
1.1261,1776884315371,92,30.97,,,,,
1.2168,1776884320814,93,29.95,,,,,
1.2911,1776884325267,96,25.68,,,,,
1.3736,1776884330218,97,25.74,,,,,
1.4602,1776884335418,99,23.83,,,,,
1.5427,1776884340368,98,17.29,,,,,
1.6252,1776884345317,96,17.12,,,,,
1.7077,1776884350265,98,18.78,,,,,
1.7902,1776884355218,97,18.74,,,,,
1.8603,1776884359421,97,20.63,,,,,
1.9429,1776884364375,98,20.49,,,,,
2.0253,1776884369324,99,23.78,,,,,
2.1079,1776884374275,94,28.22,,,,,
2.1986,1776884379722,94,27.30,,,,,
2.2770,1776884384425,94,27.81,,,,,
2.3595,1776884389372,94,26.61,,,,,
2.4419,1776884394320,93,26.44,,,,,
2.5245,1776884399273,94,23.11,,,,,
2.5946,1776884403478,99,20.16,,,,,
2.6771,1776884408429,91,27.54,,,,,
2.7596,1776884413378,83,29.52,,,,,
2.8421,1776884418327,95,29.40,,,,,
2.9246,1776884423278,92,40.66,,,,,
2.9947,1776884427486,83,46.72,,,,,
3.0772,1776884432435,87,46.19,,,,,
3.1597,1776884437387,92,41.98,,,,,
3.2422,1776884442336,92,40.51,,,,,
3.3288,1776884447531,92,42.62,,,,,
3.4113,1776884452484,91,34.53,,,,,
3.4939,1776884457436,91,26.39,,,,,
3.5764,1776884462386,93,27.16,,,,,
3.6588,1776884467334,97,25.74,,,,,
3.7289,1776884471540,97,25.39,,,,,
3.8115,1776884476493,97,30.84,,,,,
3.8816,1776884480702,89,38.03,,,,,
3.9599,1776884485400,88,38.25,,,,,
4.0425,1776884490352,90,40.37,,,,,
4.1126,1776884494557,89,41.92,,,,,
4.1951,1776884499510,91,41.01,,,,,
4.2776,1776884504459,93,41.13,,,,,
4.3601,1776884509410,93,30.29,,,,,
4.4508,1776884514852,95,24.92,,,,,
4.5292,1776884519557,92,21.32,,,,,
4.6117,1776884524504,92,22.17,,,,,
4.6942,1776884529455,93,21.44,,,,,
4.7767,1776884534405,95,24.76,,,,,
4.8469,1776884538615,93,27.13,,,,,
4.9294,1776884543566,88,27.79,,,,,
5.0118,1776884548514,94,28.81,,,,,
5.0943,1776884553462,89,38.52,,,,,
5.1769,1776884558416,86,38.12,,,,,
5.2470,1776884562621,94,37.76,,,,,
5.3295,1776884567571,98,35.05,,,,,
5.4120,1776884572523,98,33.58,,,,,
5.4944,1776884577470,99,34.42,,,,,
5.5811,1776884582671,98,21.98,,,,,
5.6636,1776884587621,100,18.76,,,,,
5.7461,1776884592571,102,17.54,,,,,
5.8286,1776884597520,101,19.18,,,,,
5.9111,1776884602468,103,18.90,,,,,
5.9812,1776884606677,103,22.73,,,,,
6.0637,1776884611627,92,23.60,,,,,
