time_min,epoch_ms,hr_bpm,rmssd_ms,palpitation,event,warning,connection,posture
0.0110,1777060653353,,,,,,connected,
0.0834,1777060657696,125,2.17,,,,,
0.1534,1777060661896,129,5.93,,,,,
0.2358,1777060666845,129,4.82,,,,,
0.3184,1777060671796,129,4.30,,,,,
0.4008,1777060676745,128,4.61,,,,,
0.4875,1777060681944,121,4.42,,,,,
0.5700,1777060686893,122,4.75,,,,,
0.6525,1777060691847,127,3.98,,,,,
0.7350,1777060696795,122,5.14,,,,,
0.8052,1777060701005,117,5.55,,,,,
0.8753,1777060705215,120,5.74,,,,,
0.9619,1777060710410,118,5.96,,,,,
1.0361,1777060714863,121,7.06,,,,,
1.1393,1777060721050,115,8.05,,,,,
1.2176,1777060725750,127,7.45,,,,,
1.2878,1777060729962,126,7.50,,,,,
1.3702,1777060734909,124,7.13,,,,,
1.4527,1777060739857,124,6.93,,,,,
1.5352,1777060744808,120,6.37,,,,,
1.6053,1777060749015,121,5.49,,,,,
1.6879,1777060753970,122,4.90,,,,,
1.7704,1777060758916,124,4.48,,,,,
1.8529,1777060763869,123,4.58,,,,,
1.9354,1777060768819,122,5.09,,,,,
2.0055,1777060773027,116,6.84,,,,,
2.0880,1777060777977,114,7.17,,,,,
2.1705,1777060782924,119,7.56,,,,,
2.2531,1777060787878,117,8.11,,,,,
2.3396,1777060793072,122,9.08,,,,,
2.4221,1777060798023,121,9.05,,,,,
2.5047,1777060802975,119,7.10,,,,,
2.5871,1777060807923,122,6.73,,,,,
2.6697,1777060812874,122,6.47,,,,,
2.7398,1777060817080,128,5.75,,,,,
2.8223,1777060822031,127,4.40,,,,,
2.9048,1777060826981,122,4.33,,,,,
2.9873,1777060831931,118,4.99,,,,,
3.0698,1777060836882,119,5.23,,,,,
3.1399,1777060841088,124,9.05,,,,,
3.2224,1777060846038,119,8.97,,,,,
3.3049,1777060850989,128,8.95,,,,,
3.3874,1777060855938,135,8.73,,,,,
3.4617,1777060860395,139,8.22,,,,,
3.5400,1777060865096,140,7.61,,,,,
