time_min,epoch_ms,hr_bpm,rmssd_ms,palpitation,event,warning,connection,posture
0.0326,1777087205489,,,,,,connected,
0.1021,1777087209659,90,26.78,,,,,
0.1847,1777087214615,91,24.92,,,,,
0.2671,1777087219560,94,22.05,,,,,
0.3538,1777087224761,94,26.59,,,,,
0.4362,1777087229710,93,25.25,,,,,
0.5187,1777087234657,95,24.55,,,,,
0.6012,1777087239607,92,24.64,,,,,
0.6838,1777087244562,91,23.18,,,,,
0.7662,1777087249508,92,24.17,,,,,
0.8364,1777087253718,93,20.56,,,,,
0.9189,1777087258669,92,21.73,,,,,
1.0014,1777087263619,94,20.86,,,,,
1.0839,1777087268569,96,19.69,,,,,
1.1705,1777087273768,94,19.48,,,,,
1.2530,1777087278717,93,18.34,,,,,
1.3355,1777087283665,93,18.67,,,,,
1.4221,1777087288859,92,16.75,,,,,
1.5005,1777087293567,92,17.62,,,,,
1.5706,1777087297773,93,17.85,,,,,
1.6531,1777087302724,92,18.27,,,,,
1.7356,1777087307673,96,18.03,,,,,
1.8181,1777087312621,97,18.45,,,,,
1.9006,1777087317572,93,20.02,,,,,
1.9707,1777087321778,91,20.89,,,,,
2.0532,1777087326729,92,20.32,,,,,
2.1357,1777087331679,91,20.59,,,,,
2.2182,1777087336629,91,21.15,,,,,
2.3008,1777087341581,93,22.17,,,,,
2.3709,1777087345787,96,19.97,,,,,
2.4534,1777087350738,98,18.51,,,,,
2.5359,1777087355689,97,20.65,,,,,
2.6184,1777087360639,97,19.62,,,,,
2.6884,1777087364841,97,19.10,,,,,
2.7710,1777087369797,96,18.64,,,,,
2.8535,1777087374744,97,18.53,,,,,
2.9360,1777087379696,97,18.39,,,,,
3.0185,1777087384646,97,15.91,,,,,
3.0886,1777087388854,97,16.43,,,,,
3.1588,1777087393063,95,17.45,,,,,
3.2371,1777087397764,94,16.51,,,,,
3.3196,1777087402713,95,16.45,,,,,
3.4022,1777087407665,95,16.68,,,,,
3.4723,1777087411872,94,23.06,,,,,
3.5630,1777087417317,89,25.03,,,,,
3.6373,1777087421771,92,24.30,,,,,
3.7197,1777087426718,94,23.93,,,,,
3.8022,1777087431669,96,24.19,,,,,
3.8724,1777087435879,100,23.75,,,,,
3.9549,1777087440828,102,19.64,,,,,
4.0373,1777087445776,98,16.19,,,,,
4.1240,1777087450978,93,18.43,,,,,
4.2065,1777087455928,92,18.35,,,,,
4.2890,1777087460877,94,19.26,,,,,
4.3715,1777087465823,96,21.89,,,,,
4.4540,1777087470773,94,22.79,,,,,
4.5365,1777087475724,94,22.37,,,,,
4.6108,1777087480182,94,20.68,,,,,
4.6891,1777087484883,94,20.90,,,,,
4.7716,1777087489830,93,22.63,,,,,
4.8541,1777087494782,91,23.25,,,,,
4.9366,1777087499730,91,23.39,,,,,
5.0067,1777087503939,91,23.63,,,,,
5.0893,1777087508892,92,24.15,,,,,
5.1717,1777087513840,92,24.22,,,,,
5.2459,1777087518292,92,23.21,,,,,
5.3244,1777087522999,90,22.26,,,,,
5.4069,1777087527947,90,28.39,,,,,
5.4894,1777087532898,90,29.66,,,,,
5.5718,1777087537845,93,29.63,,,,,
5.6544,1777087542798,93,29.50,,,,,
5.7245,1777087547004,95,29.97,,,,,
5.8070,1777087551953,96,29.58,,,,,
5.8895,1777087556906,93,31.70,,,,,
5.9720,1777087561856,89,28.46,,,,,
6.0545,1777087566807,92,27.57,,,,,
6.1246,1777087571012,95,27.30,,,,,
6.2071,1777087575963,95,27.78,,,,,
6.2897,1777087580915,95,27.35,,,,,
6.3721,1777087585861,94,17.24,,,,,
6.4588,1777087591064,93,17.60,,,,,
6.5413,1777087596012,94,20.16,,,,,
6.6238,1777087600961,93,19.22,,,,,
6.7063,1777087605914,94,18.37,,,,,
6.7888,1777087610861,94,18.66,,,,,
6.8588,1777087615065,95,17.59,,,,,
6.9414,1777087620018,95,19.01,,,,,
7.0238,1777087624964,94,18.61,,,,,
7.1063,1777087629914,93,19.55,,,,,
7.1888,1777087634866,93,19.54,,,,,
7.2590,1777087639074,93,20.59,,,,,
7.3415,1777087644026,90,22.49,,,,,
7.4240,1777087648975,89,23.10,,,,,
7.5066,1777087653929,92,24.14,,,,,
7.5890,1777087658877,96,23.31,,,,,
7.6592,1777087663085,94,26.38,,,,,
7.7416,1777087668032,90,26.26,,,,,
7.8242,1777087672986,92,25.61,,,,,
7.9067,1777087677936,92,24.87,,,,,
7.9767,1777087682139,92,23.47,,,,,
8.0593,1777087687092,93,22.98,,,,,
8.1418,1777087692041,94,20.11,,,,,
8.2119,1777087696252,93,19.47,,,,,
8.2903,1777087700951,91,20.45,,,,,
8.3604,1777087705162,91,21.53,,,,,
8.4429,1777087710109,89,24.49,,,,,
8.5254,1777087715057,87,24.38,,,,,
8.6079,1777087720008,88,27.18,,,,,
8.6904,1777087724957,87,28.39,,,,,
8.7605,1777087729164,87,28.54,,,,,
8.8430,1777087734117,84,28.86,,,,,
8.9296,1777087739314,86,27.70,,,,,
